Date,Open,High,Low,Close,Volume,Symbol
2016-11-22,768.0,778.0,756.95,772.2,247576.0,CUMMINSIND
2016-11-23,772.25,781.75,747.55,762.95,240788.0,CUMMINSIND
2016-11-24,750.0,789.8,750.0,776.1,208762.0,CUMMINSIND
2016-11-25,776.0,782.25,766.05,776.7,111091.0,CUMMINSIND
2016-11-28,776.75,779.8,760.65,764.85,211016.0,CUMMINSIND
2016-11-29,764.9,783.95,759.0,776.0,99989.0,CUMMINSIND
2016-11-30,776.05,792.0,775.5,788.85,121245.0,CUMMINSIND
2016-12-01,788.0,798.65,771.1,772.85,178335.0,CUMMINSIND
2016-12-02,772.0,775.05,751.5,756.15,190942.0,CUMMINSIND
2016-12-05,755.0,776.0,751.0,774.0,80875.0,CUMMINSIND
2016-12-06,772.0,782.7,760.0,777.8,333327.0,CUMMINSIND
2016-12-07,783.9,783.9,764.9,769.0,114539.0,CUMMINSIND
2016-12-08,771.6,798.5,765.3,794.5,100734.0,CUMMINSIND
2016-12-09,792.65,808.05,785.0,794.3,110949.0,CUMMINSIND
2016-12-12,804.0,804.0,771.45,774.9,141842.0,CUMMINSIND
2016-12-13,773.15,788.4,768.15,779.45,158115.0,CUMMINSIND
2016-12-14,783.95,788.05,774.45,784.75,51953.0,CUMMINSIND
2016-12-15,783.75,807.8,777.0,802.8,155521.0,CUMMINSIND
2016-12-16,802.8,831.0,802.8,817.95,490662.0,CUMMINSIND
2016-12-19,808.15,817.0,800.35,806.05,103826.0,CUMMINSIND
2016-12-20,807.2,814.5,799.2,804.4,66951.0,CUMMINSIND
2016-12-21,805.0,810.45,800.25,806.95,71928.0,CUMMINSIND
2016-12-22,806.95,809.2,795.0,801.45,238711.0,CUMMINSIND
2016-12-23,809.0,809.0,782.85,797.75,185782.0,CUMMINSIND
2016-12-26,797.0,803.4,783.0,792.35,72435.0,CUMMINSIND
2016-12-27,793.0,804.0,780.0,798.25,64331.0,CUMMINSIND
2016-12-28,800.0,814.5,797.0,812.05,141147.0,CUMMINSIND
2016-12-29,812.4,819.0,805.05,808.75,110494.0,CUMMINSIND
2016-12-30,806.25,823.0,805.7,818.75,107935.0,CUMMINSIND
2017-01-02,826.75,828.7,815.55,826.15,74747.0,CUMMINSIND
2017-01-03,825.15,857.95,825.15,842.9,196233.0,CUMMINSIND
2017-01-04,845.05,853.95,803.45,808.35,287533.0,CUMMINSIND
2017-01-05,813.9,819.25,807.1,814.85,101255.0,CUMMINSIND
2017-01-06,816.75,821.5,806.1,808.5,105312.0,CUMMINSIND
2017-01-09,809.0,813.3,794.1,805.25,162980.0,CUMMINSIND
2017-01-10,806.2,832.0,803.9,828.15,210771.0,CUMMINSIND
2017-01-11,820.55,845.0,816.45,840.6,228896.0,CUMMINSIND
2017-01-12,840.0,849.0,832.7,847.1,122813.0,CUMMINSIND
2017-01-13,849.1,854.95,832.5,852.5,149688.0,CUMMINSIND
2017-01-16,852.5,858.75,841.55,847.8,105770.0,CUMMINSIND
2017-01-17,848.75,850.45,836.0,840.0,129281.0,CUMMINSIND
2017-01-18,840.0,845.0,830.0,833.2,135626.0,CUMMINSIND
2017-01-19,832.0,838.0,826.2,832.1,101029.0,CUMMINSIND
2017-01-20,833.1,833.1,823.0,826.5,163017.0,CUMMINSIND
2017-01-23,818.3,839.9,818.3,837.8,111833.0,CUMMINSIND
2017-01-24,832.1,846.05,832.1,839.65,95255.0,CUMMINSIND
2017-01-25,843.15,851.0,832.1,838.0,242656.0,CUMMINSIND
2017-01-27,838.0,852.0,832.2,847.15,134261.0,CUMMINSIND
2017-01-30,847.15,860.0,839.7,850.25,355004.0,CUMMINSIND
2017-01-31,850.25,850.65,836.4,838.95,103015.0,CUMMINSIND
2017-02-01,840.0,853.0,825.5,850.2,149450.0,CUMMINSIND
2017-02-02,882.0,918.8,882.0,902.8,1914420.0,CUMMINSIND
2017-02-03,901.0,906.65,885.0,891.7,436550.0,CUMMINSIND
2017-02-06,894.0,921.0,893.95,913.95,620076.0,CUMMINSIND
2017-02-07,915.0,916.25,900.0,904.05,256559.0,CUMMINSIND
2017-02-08,904.0,912.8,900.0,906.15,187188.0,CUMMINSIND
2017-02-09,906.15,912.45,897.0,906.0,167909.0,CUMMINSIND
2017-02-10,915.0,915.0,885.0,892.3,133478.0,CUMMINSIND
2017-02-13,901.4,901.4,872.0,873.85,147869.0,CUMMINSIND
2017-02-14,871.05,894.0,863.15,885.55,243134.0,CUMMINSIND
2017-02-15,886.0,892.0,876.25,884.05,147040.0,CUMMINSIND
2017-02-16,882.9,894.0,880.3,891.2,97673.0,CUMMINSIND
2017-02-17,885.25,897.2,882.15,888.75,94770.0,CUMMINSIND
2017-02-20,888.05,894.3,882.6,888.35,208119.0,CUMMINSIND
2017-02-21,894.2,917.3,876.05,904.6,307061.0,CUMMINSIND
2017-02-22,904.0,904.0,886.5,891.2,163524.0,CUMMINSIND
2017-02-23,890.0,894.95,878.0,882.25,283518.0,CUMMINSIND
2017-02-27,890.9,895.8,884.1,892.05,174154.0,CUMMINSIND
2017-02-28,892.05,899.9,881.1,887.9,284304.0,CUMMINSIND
2017-03-01,891.35,892.85,878.35,881.4,179214.0,CUMMINSIND
2017-03-02,885.0,888.85,867.0,875.75,135119.0,CUMMINSIND
2017-03-03,872.25,883.0,872.25,878.5,84067.0,CUMMINSIND
2017-03-06,878.5,882.9,870.1,871.75,113307.0,CUMMINSIND
2017-03-07,872.75,877.4,861.6,864.0,114916.0,CUMMINSIND
2017-03-08,868.0,872.7,859.55,862.35,288776.0,CUMMINSIND
2017-03-09,862.2,865.35,855.0,859.45,161056.0,CUMMINSIND
2017-03-10,855.0,860.05,851.5,855.5,239359.0,CUMMINSIND
2017-03-14,861.0,867.95,840.0,847.1,400592.0,CUMMINSIND
2017-03-15,847.1,874.1,847.1,872.15,886486.0,CUMMINSIND
2017-03-16,874.9,889.85,873.9,886.95,636602.0,CUMMINSIND
2017-03-17,878.55,901.0,878.55,894.1,610130.0,CUMMINSIND
2017-03-20,894.1,915.05,894.1,906.85,427180.0,CUMMINSIND
2017-03-21,909.45,913.95,892.0,899.75,276821.0,CUMMINSIND
2017-03-22,895.0,908.0,882.6,902.65,155870.0,CUMMINSIND
2017-03-23,904.0,913.45,902.1,908.25,170139.0,CUMMINSIND
2017-03-24,910.0,929.9,910.0,924.25,455463.0,CUMMINSIND
2017-03-27,939.0,942.65,921.0,927.2,316175.0,CUMMINSIND
2017-03-28,928.9,944.05,923.45,937.15,362155.0,CUMMINSIND
2017-03-29,938.15,950.9,928.25,932.95,188606.0,CUMMINSIND
2017-03-30,934.25,944.6,934.2,940.4,146053.0,CUMMINSIND
2017-03-31,941.9,959.7,940.6,949.45,295036.0,CUMMINSIND
2017-04-03,950.35,964.35,940.2,961.55,142331.0,CUMMINSIND
2017-04-05,964.0,972.95,952.6,968.75,198261.0,CUMMINSIND
2017-04-06,965.0,973.05,955.0,959.2,105340.0,CUMMINSIND
2017-04-07,961.0,978.8,956.8,966.85,377306.0,CUMMINSIND
2017-04-10,961.5,987.8,960.25,979.25,343193.0,CUMMINSIND
2017-04-11,985.0,985.0,974.0,980.95,215701.0,CUMMINSIND
2017-04-12,976.0,991.2,963.6,986.25,285283.0,CUMMINSIND
2017-04-13,981.05,1003.0,965.0,978.35,342989.0,CUMMINSIND
2017-04-17,976.0,976.0,957.0,959.2,91015.0,CUMMINSIND
2017-04-18,960.2,972.0,933.95,938.35,179798.0,CUMMINSIND
2017-04-19,939.4,956.95,937.7,948.95,131152.0,CUMMINSIND
2017-04-20,947.0,952.95,940.1,944.15,121393.0,CUMMINSIND
2017-04-21,945.7,979.8,945.55,969.15,234185.0,CUMMINSIND
2017-04-24,976.5,984.5,965.1,971.15,199887.0,CUMMINSIND
2017-04-25,979.45,984.5,955.3,968.75,243152.0,CUMMINSIND
2017-04-26,969.0,1028.95,969.0,1011.65,523542.0,CUMMINSIND
2017-04-27,1014.0,1031.0,995.1,1017.0,239112.0,CUMMINSIND
2017-04-28,1016.9,1016.9,987.1,997.0,225698.0,CUMMINSIND
2017-05-02,1011.0,1015.8,992.0,1001.35,178802.0,CUMMINSIND
2017-05-03,1045.0,1096.8,1030.0,1054.6,1816244.0,CUMMINSIND
2017-05-04,1054.25,1081.8,1054.25,1060.65,299253.0,CUMMINSIND
2017-05-05,1057.0,1057.95,1008.0,1031.0,211006.0,CUMMINSIND
2017-05-08,1051.6,1064.75,1035.25,1050.0,188182.0,CUMMINSIND
2017-05-09,1055.0,1082.85,1053.65,1065.85,355984.0,CUMMINSIND
2017-05-10,1076.0,1076.0,1058.0,1063.0,121605.0,CUMMINSIND
2017-05-11,1065.1,1069.7,1045.0,1048.4,99137.0,CUMMINSIND
2017-05-12,1052.65,1078.0,1037.95,1052.25,240925.0,CUMMINSIND
2017-05-15,1068.0,1070.9,1046.75,1066.05,145671.0,CUMMINSIND
2017-05-16,1066.2,1068.95,1042.0,1047.75,176596.0,CUMMINSIND
2017-05-17,1047.75,1052.95,1010.15,1016.45,261366.0,CUMMINSIND
2017-05-18,1010.0,1070.0,982.05,1054.45,984418.0,CUMMINSIND
2017-05-19,1015.0,1015.0,932.55,972.95,2807183.0,CUMMINSIND
2017-05-22,980.0,980.0,907.8,930.8,1380001.0,CUMMINSIND
2017-05-23,921.0,939.7,884.55,926.2,783589.0,CUMMINSIND
2017-05-24,930.0,934.95,908.0,914.8,323044.0,CUMMINSIND
2017-05-25,927.5,928.85,898.25,925.05,574618.0,CUMMINSIND
2017-05-26,940.0,956.35,923.15,949.95,314033.0,CUMMINSIND
2017-05-29,949.0,956.75,931.55,936.0,204901.0,CUMMINSIND
2017-05-30,930.0,950.0,918.0,931.45,266113.0,CUMMINSIND
2017-05-31,945.0,954.4,931.5,941.4,216181.0,CUMMINSIND
2017-06-01,944.95,945.0,915.0,925.1,183427.0,CUMMINSIND
2017-06-02,928.0,959.0,924.25,943.2,329563.0,CUMMINSIND
2017-06-05,944.9,946.9,928.2,932.7,149617.0,CUMMINSIND
2017-06-06,935.0,935.4,911.75,914.65,148737.0,CUMMINSIND
2017-06-07,911.0,918.85,907.3,912.25,465138.0,CUMMINSIND
2017-06-08,907.3,925.3,906.95,919.9,191004.0,CUMMINSIND
2017-06-09,925.9,927.0,911.05,917.3,130979.0,CUMMINSIND
2017-06-12,919.25,919.25,888.0,898.2,281253.0,CUMMINSIND
2017-06-13,899.0,922.4,898.0,913.05,162355.0,CUMMINSIND
2017-06-14,920.0,926.0,896.0,919.75,1347853.0,CUMMINSIND
2017-06-15,919.1,928.6,905.5,914.2,195197.0,CUMMINSIND
2017-06-16,921.4,923.2,911.0,920.2,385648.0,CUMMINSIND
2017-06-19,924.0,942.55,922.0,932.2,263812.0,CUMMINSIND
2017-06-20,938.0,938.0,920.0,922.95,73319.0,CUMMINSIND
2017-06-21,921.95,932.4,908.55,912.9,110436.0,CUMMINSIND
2017-06-22,908.05,922.0,899.0,903.0,110871.0,CUMMINSIND
2017-06-23,901.2,912.9,901.2,907.9,112408.0,CUMMINSIND
2017-06-27,919.0,919.0,898.1,910.1,279070.0,CUMMINSIND
2017-06-28,901.2,916.0,901.2,912.65,177886.0,CUMMINSIND
2017-06-29,912.65,930.9,902.3,907.6,224971.0,CUMMINSIND
2017-06-30,906.5,944.0,893.05,919.75,309608.0,CUMMINSIND
2017-07-03,915.0,919.7,901.1,912.0,332443.0,CUMMINSIND
2017-07-04,907.1,922.3,907.1,913.45,141367.0,CUMMINSIND
2017-07-05,913.5,922.0,908.15,913.7,122148.0,CUMMINSIND
2017-07-06,919.95,923.5,905.0,914.05,338874.0,CUMMINSIND
